Agaricus-arvensis, res.count
Agaricus-campestris, res.count
Agaricus-californicus, res.count
Agaricus-xanthodermus, res.count
Pluteus-cervinus, res.count
Pluteus-exilis, res.count
Amanita-bisporigera, res.count
Amanita-caesarea, res.count
Amanita-calyptroderma, res.count
Amanita-brunnescens, res.count
Amanita-citrina, res.count
Amanita-constricta, res.count
Amanita-flavoconia, res.count
Amanita-gemmata, res.count
Amanita-fulva, res.count
Amanita-jacksonii, res.count
Amanita-muscaria, res.count
Amanita-ocreata, res.count
Amanita-novinupta, res.count
Amanita-pantherina, res.count
Amanita-parcivolvata, res.count
Amanita-rubescens, res.count
Amanita-vaginata, res.count
Amanita-velosa, res.count
Boletus-edulis, res.count
Boletus-subvelutipes, res.count
Boletus-rubellus, res.count
Suillus-cavipes, res.count
Suillus-brevipes, res.count
Leccinum-scabrum, res.count
Leccinum-aurantiacum, res.count
Xerocomellus-chrysenteron, res.count
Xerocomellus-dryophilus, res.count
Strobilomyces-floccopus, res.count
Tylopilus-plumbeoviolaceus, res.count
Tylopilus-felleus, res.count
Tylopilus-rubrobrunneus, res.count
Lycoperdon, res.count
Coprinellus-micaceus, res.count
Coprinellus-disseminatus, res.count
Psathyrella-candolleana, res.count
Panaeolus-papilionaceus, res.count
Parasola-lactea, res.count
Parasola-plicatilis, res.count
Panaeolus-foenisecii, res.count
Panaeolus-antillarum, res.count
Hypholoma-fasciculare, res.count
Hypholoma-capnoides, res.count
Hypholoma-lateritium, res.count
Gymnopilus-junonius, res.count
Gymnopilus-sapineus, res.count
Gymnopilus-ventricosus, res.count
Pholiota-aurivella, res.count
Pholiota-squarrosa, res.count
Pholiota-squarrosoides, res.count
Leratiomyces-percevalii, res.count
Leratiomyces-ceres, res.count
Leratiomyces-erythrocephalus, res.count
Entoloma-abortivum, res.count
Entoloma-ferruginans, res.count
Clitocybe-brunneocephala, res.count
Clitocybe-fragrans, res.count
Clitocybe-nebularis, res.count
Infundibulicybe-gibba, res.count
Lepista-nuda, res.count
Tricholoma-dryophilum, res.count
Tricholoma-terreum, res.count
Tricholoma-magnivelare, res.count
Tricholoma-matsutake, res.count
Cortinarius-caperatus, res.count
Cortinarius-iodes, res.count
Cortinarius-violaceus, res.count
Stropharia-rugosoannulata, res.count
Stropharia-ambigua, res.count
Stropharia-aeruginosa, res.count
Agrocybe-putaminum, res.count
Agrocybe-praecox, res.count
Agrocybe-pediades, res.count
Coprinus-comatus, res.count
Coprinopsis-atramentaria, res.count
Coprinopsis-lagopus, res.count
Coprinopsis-variegata, res.count
Chlorophyllum-brunneum, res.count
Chlorophyllum-rhacodes, res.count
Chlorophyllum-molybdites, res.count
total, 39450
